Unix Time,Formatted Time,Latitude,Longitude,Altitude,Fix,SIV,Unixtime,RSSI,SNR,Freqerr,Radio State
1741523943.2049477,2025-03-09-12-39-03, 52.6683502,-1.5248417,274.1910095,3,4,298, -52.000, 13.2500, 92249.219, 0
1741523943.3834484,2025-03-09-12-39-03, 52.6683693,-1.5248449,269.1579895,3,4,298, -51.000, 14.0000, 92299.594, 0
1741523943.5824316,2025-03-09-12-39-03, 52.6684113,-1.5248545,258.2279968,3,4,298, -50.000, 13.0000, 92274.406, 0
1741523943.8310723,2025-03-09-12-39-03, 52.6684418,-1.5248626,249.7169952,3,4,298, -55.000, 14.5000, 92299.594, 0
1741523944.1215615,2025-03-09-12-39-04, 52.6684303,-1.5248586,252.8999939,3,4,298, -58.000, 12.7500, 92299.594, 0
1741523944.3869336,2025-03-09-12-39-04, 52.6684265,-1.5248588,254.2050018,3,4,298, -52.000, 15.0000, 92324.781, 0
1741523944.6377199,2025-03-09-12-39-04, 52.6683769,-1.5248471,266.2959900,3,4,298, -62.000, 14.0000, 92425.531, 0
1741523944.828209,2025-03-09-12-39-04, 52.6684341,-1.5248615,250.9380035,3,4,298, -49.000, 15.2500, 92375.156, 0
1741523945.084344,2025-03-09-12-39-05, 52.6684608,-1.5248657,243.6060028,3,4,298, -48.000, 12.5000, 92400.344, 0
1741523945.3608563,2025-03-09-12-39-05, 52.6685257,-1.5248812,226.1459961,3,4,298, -50.000, 12.7500, 92425.531, 0
1741523945.669941,2025-03-09-12-39-05, 52.6685638,-1.5248893,215.5760040,3,4,298, -47.000, 12.5000, 92450.719, 0
1741523945.9130428,2025-03-09-12-39-05, 52.6685905,-1.5248938,208.5140076,3,4,298, -46.000, 12.7500, 92501.094, 0
1741523946.1376925,2025-03-09-12-39-06, 52.6686172,-1.5249012,201.8849945,3,4,298, -66.000, 14.2500, 92501.094, 0
1741523946.4364684,2025-03-09-12-39-06, 52.6685486,-1.5248846,218.6130066,3,4,298, -55.000, 12.7500, 92526.281, 0
1741523946.6130574,2025-03-09-12-39-06, 52.6684914,-1.5248712,236.2819977,3,5,298, -57.000, 13.0000, 92576.656, 0
1741523946.85813,2025-03-09-12-39-06, 52.6683388,-1.5248367,277.0989990,3,5,298, -49.000, 15.0000, 92601.844, 0
1741523947.1193445,2025-03-09-12-39-07, 52.6682434,-1.5248140,302.1640015,3,5,302, -50.000, 13.2500, 92601.844, 0
1741523947.3788865,2025-03-09-12-39-07, 52.6682358,-1.5248120,303.3380127,3,5,303, -60.000, 14.5000, 92627.031, 0
